School Name,CanopyID,NCES School ID
A2 Virtual+ Academy,1,
Academies of Hampton,2,510180002973
The Academy of Advanced Learning,3,080234006736
Albemarle Road Elementary School,4,370297001186
Alpena Career Tech Education Center,5,260273003984
Amana Academy,6,130228003535
American Academy of Innovation,7,490018601483
Anastasis Academy,8,A1790101
Armada High School,9,260324004042
Asa Messer Elementary School,10,440090000213
Aspen Academy,11,A0700350
Aspire Richmond Tech,12,060154713891
Atlanta Speech School,13,00298853
Austin Road Elementary School,14,130282000378
Avalon School,15,270018703140
Avanti High School,16,530618002689
Aveson Global Leadership Academy,17,060218112028
Barbara Morgan STEM Academy,18,160210000639
Barrington Middle School,19,440003000002
Bedford Homeschool Partnership,20,
Berrien Springs Virtual School,21,260543008175
Blackstone Academy Charter School,22,440003600246
Booneville High School,23,280082001024
Boston Day and Evening Academy,24,250004901245
Bronx Arena High School,25,360008506258
Canon City High School,26,080279000172
Casco Bay High School,27,230993000603
Center Line High School - Wall to Wall Academies,28,260858004404
Central Elementary School,29,440057000134
Charles W. Eliot PreK-8th Grade School,30,390437800440
Charles R. Drew Charter School,31,130012002453
Charlotte Lab School,32,370039103375
Chastain Road Elementary,33,450333001565
Childersburg Middle School,34,010318001756
CICS West Belden,35,170993006475
Cisco Elementary,36,481407000888
Citizens of the World Hollywood,37,060205012708
City Garden Montessori School,38,290058503101
Clarendon High School,39,050435000164
Coahoma Early College High School,40,280110000137
CodeRVA Regional High School,41,510025603031
Columbia Heights Educational Campus (CHEC),42,110003000396
Columbia High School,43,160234000870
Common Ground High School,44,090001400807
Community Lab School,45,
Compass Academy,46,080336006645
"Leaders of Excellence, Advocacy, and Discovery (LEAD)",47,360008406382
Conservatory Lab Charter School,48,250006001439
Crosstown High,49,470014802548
Dan D. Rogers Elementary School,50,481623001342
Da Vinci Extension,51,
DB EXCEL (Kingsport),52,
DC Bilingual Public Charter School,53,110004200273
[Non-Operating School] Denver School of Innovation and Sustainable Design,54,080336006640
Derry Elementary,55,483525003987
Design Tech High School,56,060232413774
Design39Campus,57,063153013729
Digital Pioneers Academy,58,110010900521
Du Bois Integrity Academy,59,130023704193
Duchesne High School,60,490024000162
e3 Civic High,61,060235013288
Early Technical College at Tennessee College of Applied Technology,62,
East College Prep,63,060196813898
USC Hybrid High College Prep,64,060234513094
Elmer G Bondy Intermediate,65,483432004691
Ember Charter School for Mindful Education; Innovation; and Transformation,66,360104806255
[Non-Operating School] Empower Community High School,67,080234006781
Envision Academy,68,060161410947
EPiC Elementary,69,291854003253
Evergreen Community Charter School,70,370007802430
Fannie Lou Hamer Freedom High School,71,360009001327
Farmington High School (UT),72,490021001537
Farmington High School (CT),73,090156000273
Strive Prep - Federal,74,080336002012
Oakland FlexTech High School,75,260104308495
Flushing International High School,76,360012205727
Francis T Maloney High School,77,090240000441
Francis W. Parker Charter Essential School,78,250003800581
Frank McCourt High School,79,360007806185
Fred Tjardes School of Innovation,80,080441006719
Future Public School,81,160018101100
Garden City,82,440024000050
Gem Prep Nampa,83,160020501080
Gibson Ek High School,84,530375003588
Girls Athletic Leadership Middle School,85,080336006473
Goochland High School,86,510165000686
Green Valley Ranch,87,080336006546
Grow Academy Shafter,88,060209114186
Gwendolyn Brooks College Preparatory Academy,89,170993002031
Hamilton County Collegiate High at Chattanooga State,90,470159001416
Mott Haven Academy,91,360096006013
High Tech High,92,060175308599
Highfalls Elementary School,93,370309001319
Highline Big Picture,94,530354002976
Holmes Central High School,95,280019501488
Holyoke High School,96,250627000900
Horizons Alternative Education School,97,260769001863
Howard Middle School for Math and Science,98,110005800308
IDEA Toros College Preparatory,99,480021113514
Urban Discovery High School,100,060155112318
Impact | Puget Sound Elementary,101,530034503653
Innovations High School,102,320048000869
[Non-Operating School] Iroquois High School,103,210299000753
John Barry Elementary School,104,090240000445
Juab High School,105,490045000334
[Non-Operating School] Kent Innovation High School,106,268062008464
Ketcham,107,110003000176
Kettle Moraine Explore,108,550351002914
KIPP Academy Lynn Collegiate,109,250008201845
KIPP Liberation,110,480026411548
Latitude High School,111,060151414257
[Non-Operating School] Launch Network at Stedman Elementary,112,080336000411
Lexington 4 Early Childhood Center,113,450279001548
Liberty Elementary School,114,240009000270
Lincoln Middle School (IL),115,170606000288
Lindsay Unified High School,116,062187002595
Lodestar,117,060175514027
Logan Innovations,118,490051000351
Madison Palmer High School,119,280381000730
Magnolia Montessori For All,120,480144212915
Manual Academy,121,173123003274
Map Academy Charter School,122,250058902885
Maple Street Magnet School,123,330594000709
Meadows Valley School PK-12,124,160206000826
Mena High School,125,050975000713
Meridian Technical Charter High School,126,160210000759
MetWest,127,062805011350
Mill Creek Middle School,128,261203000738
Mineola Elementary,129,483093003479
Minnesota New Country School,130,270009202487
[Non-Operating School] Mission Hill K-8 School,131,250279000946
Mission Vista High School,132,064119012341
Montpelier High School,133,500041000199
Native American Community Academy,134,350006000918
Nativity of Mary Catholic School,135,00701232
North Carolina School of Science and Mathematics,136,
Nettleton High School,137,051044000762
New Haven Academy,138,090279000547
New Legacy Charter School,139,080002006661
Noble High School,140,231470000512
Norris Academy,141,551071003072
North Edgecombe High School,142,370132000555
North Little Rock Middle School - 6th Grade Campus,143,051068001678
Northside Elementary School,144,051197000956
Nottingham Elementary School,145,484110004684
NYC iSchool,146,360007706065
Oakland High School,147,470369001523
Oasis High School,148,
Ocean Bay Middle School,149,450249001458
One Stone,150,
Orlo Avenue Elementary,151,440033000103
Pangburn High School,152,051107000835
Park View Elementary,153,370312001335
Parker-Varney Elementary,154,330459000254
Pasodale Elementary School,155,484668005332
Pea Ridge Primary/Intermediate,156,050303000071
Piedmont High School,157,402397001272
Pinckney Community High School,158,262814006385
Pine Tree Elementary School,159,330249000079
Pioneer Ridge Middle School,160,270819003180
Pittsfield Middle High School,161,330573000366
Polaris Charter Academy,162,170993005919
Port Huron High School,163,262883006475
[Nonoperating school] Powderhouse Studios,164,
Purdue Polytechnic High School - Englewood,165,180018302632
Radford High School,166,510318001345
Red Bank Elementary,167,450270001269
Reiche Community School,168,230993000273
River Bluff High School,169,450270001626
Rochester Middle School,170,330594000395
Rocky Mountain School of Expeditionary Learning,171,080000400709
Rooted School New Orleans,172,220033102529
Salem Church Elementary,173,510084000348
Salem High School (VA),174,510346002043
Saluda Trail Middle School,175,450387000537
Sanborn Regional High School,176,330608000479
Schoolcraft High School,177,263102006732
Science and Math Institute,178,530870003286
Scott Central High School,179,280390000748
SEEQS: the School for Examining Essential Questions of Sustainability,180,150003000298
Shamrock Garden Elementary School,181,370297001271
Shannon High School,182,481023013066
Shawnee High School,183,402757001463
Siloam Springs High School Conversion Charter,184,051245001003
Silverton School,185,080657001136
Sinai Elementary School,186,510177002769
