Nomination ID,SurveyName,Canopy School ID,Governance Descriptor (from Nominations) (from Official School Name)
Nominator_2024-10__,Nominator_2024-10,,
Nominator_2024-10__,Nominator_2024-10,,
Nominator_2024-10__,Nominator_2024-10,,
__,,,
__,,,
Nominator_2024-10__,Nominator_2024-10,,
Nominator_2024-10__,Nominator_2024-10,,
Nominator_2023-11__,Nominator_2023-11,,
Nominator_2024-10__,Nominator_2024-10,,
Nominator_2024-10__,Nominator_2024-10,,
Nominator_2021-12_A Revolution in Education_,Nominator_2021-12,,
Nominator_2023-11_Beloved Community_,Nominator_2023-11,,
Nominator_2024-10_Center on Reinventing Public Education_,Nominator_2024-10,,
Nominator_2024-10_Center on Reinventing Public Education_,Nominator_2024-10,,
Nominator_2022-11_Education Counsel_,Nominator_2022-11,,
Nominator_2020-11_Education Resources Consortium_,Nominator_2020-11,,
Nominator_2024-10_Elements of Education_,Nominator_2024-10,,
Nominator_2020-11_Fielding International_,Nominator_2020-11,,
Nominator_2023-11_Getting Smart_,Nominator_2023-11,,
Nominator_2024-10_Getting Smart_,Nominator_2024-10,,
Nominator_2021-12_Institute for Personalized Learning_,Nominator_2021-12,,
Nominator_2023-11_Mastery Transcript Consortium_,Nominator_2023-11,,
Nominator_2023-11_Mastery Transcript Consortium_,Nominator_2023-11,,
Nominator_2021-12_MiCoOp_,Nominator_2021-12,,
Nominator_2021-12_MiCoOp_,Nominator_2021-12,,
Nominator_2022-11_MiCoOp_,Nominator_2022-11,,
Nominator_2023-11_New Tech Network_,Nominator_2023-11,,
Nominator_2020-11_NewSchools Venture Fund_,Nominator_2020-11,,
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,
Nominator_2023-11_Next Generation Learning Challenges_,Nominator_2023-11,,
Nominator_2022-11_North Dakota Department of Public Instruction_,Nominator_2022-11,,
Nominator_2022-11_Revolution School_,Nominator_2022-11,,
Nominator_2021-12_Rogers Family Foundation_,Nominator_2021-12,,
Nominator_2021-12_Rogers Family Foundation_,Nominator_2021-12,,
Nominator_2022-11_The Center for Learner Equity_,Nominator_2022-11,,
Nominator_2023-11_Throughline Learning_,Nominator_2023-11,,
Nominator_2021-12_TNTP_,Nominator_2021-12,,
Nominator_2023-11_Transcend_,Nominator_2023-11,,
Nominator_2025-10_Transcend_,Nominator_2025-10,,
Nominator_2024-10_Transcend_,Nominator_2024-10,,
Nominator_2024-10_Transcend_,Nominator_2024-10,,
Nominator_2024-10_Transcend_,Nominator_2024-10,,
