"school_name","canopy_id","nces_school_id","nces_school_type"
"Academies of Hampton",2,510180002973,"Public district school"
"The Academy of Advanced Learning",3,80234006736,NA
"Albemarle Road Elementary School",4,370297001186,"Public district school"
"Alpena Career Tech Education Center",5,260273003984,"Public district school"
"Amana Academy",6,130228003535,"Public charter school"
"American Academy of Innovation",7,490018601483,"Public charter school"
"Armada High School",9,260324004042,"Public district school"
"Asa Messer Elementary School",10,440090000213,"Public district school"
"Aspire Richmond Tech",12,60154713891,"Public charter school"
"Atlanta Speech School",13,298853,NA
"Austin Road Elementary School",14,130282000378,"Public district school"
"Avalon School",15,270018703140,"Public charter school"
"Avanti High School",16,530618002689,"Public district school"
"Aveson Global Leadership Academy",17,60218112028,"Public charter school"
"Barbara Morgan STEM Academy",18,160210000639,"Public district school"
"Barrington Middle School",19,440003000002,"Public district school"
"Berrien Springs Virtual School",21,260543008175,"Public district school"
"Blackstone Academy Charter School",22,440003600246,"Public charter school"
"Booneville High School",23,280082001024,"Public district school"
"Boston Day and Evening Academy",24,250004901245,"Public charter school"
"Bronx Arena High School",25,360008506258,"Public district school"
"Canon City High School",26,80279000172,"Public district school"
"Casco Bay High School",27,230993000603,"Public district school"
"Center Line High School - Wall to Wall Academies",28,260858004404,"Public district school"
"Central Elementary School",29,440057000134,"Public district school"
"Charles W. Eliot PreK-8th Grade School",30,390437800440,"Public district school"
"Charles R. Drew Charter School",31,130012002453,"Public charter school"
"Charlotte Lab School",32,370039103375,"Public charter school"
"Chastain Road Elementary",33,450333001565,"Public district school"
"Childersburg Middle School",34,10318001756,"Public district school"
"CICS West Belden",35,170993006475,"Public charter school"
"Cisco Elementary",36,481407000888,"Public district school"
"Citizens of the World Hollywood",37,60205012708,"Public charter school"
"City Garden Montessori School",38,290058503101,"Public charter school"
"Clarendon High School",39,50435000164,"Public district school"
"Coahoma Early College High School",40,280110000137,NA
"CodeRVA Regional High School",41,510025603031,"Public district school"
"Columbia Heights Educational Campus (CHEC)",42,110003000396,"Public district school"
"Columbia High School",43,160234000870,"Public district school"
"Common Ground High School",44,90001400807,"Public charter school"
"Compass Academy",46,80336006645,"Public charter school"
"Leaders of Excellence, Advocacy, and Discovery (LEAD)",47,360008406382,"Public district school"
"Conservatory Lab Charter School",48,250006001439,"Public charter school"
"Crosstown High",49,470014802548,"Public charter school"
"Dan D. Rogers Elementary School",50,481623001342,"Public district school"
"DC Bilingual Public Charter School",53,110004200273,"Public charter school"
"[Non-Operating School] Denver School of Innovation and Sustainable Design",54,80336006640,"Public district school"
"Derry Elementary",55,483525003987,"Public district school"
"Design Tech High School",56,60232413774,"Public charter school"
"Design39Campus",57,63153013729,"Public district school"
"Digital Pioneers Academy",58,110010900521,"Public charter school"
"Du Bois Integrity Academy",59,130023704193,"Public charter school"
"Duchesne High School",60,490024000162,"Public district school"
"e3 Civic High",61,60235013288,"Public charter school"
"East College Prep",63,60196813898,"Public charter school"
"USC Hybrid High College Prep",64,60234513094,"Public charter school"
"Elmer G Bondy Intermediate",65,483432004691,"Public district school"
"Ember Charter School for Mindful Education; Innovation; and Transformation",66,360104806255,"Public charter school"
"[Non-Operating School] Empower Community High School",67,80234006781,NA
"Envision Academy",68,60161410947,"Public charter school"
"EPiC Elementary",69,291854003253,"Public district school"
"Evergreen Community Charter School",70,370007802430,"Public charter school"
"Fannie Lou Hamer Freedom High School",71,360009001327,"Public district school"
"Farmington High School (UT)",72,490021001537,"Public district school"
"Farmington High School (CT)",73,90156000273,"Public district school"
"Strive Prep - Federal",74,80336002012,"Public charter school"
"Oakland FlexTech High School",75,260104308495,"Public charter school"
"Flushing International High School",76,360012205727,"Public district school"
"Francis T Maloney High School",77,90240000441,"Public district school"
"Francis W. Parker Charter Essential School",78,250003800581,"Public charter school"
"Frank McCourt High School",79,360007806185,"Public district school"
"Fred Tjardes School of Innovation",80,80441006719,"Public district school"
"Future Public School",81,160018101100,"Public charter school"
"Garden City",82,440024000050,"Public district school"
"Gem Prep Nampa",83,160020501080,"Public charter school"
"Gibson Ek High School",84,530375003588,"Public district school"
"Girls Athletic Leadership Middle School",85,80336006473,"Public charter school"
"Goochland High School",86,510165000686,"Public district school"
"Green Valley Ranch",87,80336006546,"Public charter school"
"Grow Academy Shafter",88,60209114186,"Public charter school"
"Gwendolyn Brooks College Preparatory Academy",89,170993002031,"Public district school"
"Hamilton County Collegiate High at Chattanooga State",90,470159001416,"Public district school"
"Mott Haven Academy",91,360096006013,"Public charter school"
"High Tech High",92,60175308599,"Public charter school"
"Highfalls Elementary School",93,370309001319,"Public district school"
"Highline Big Picture",94,530354002976,"Public district school"
"Holmes Central High School",95,280019501488,"Public district school"
"Holyoke High School",96,250627000900,"Public district school"
"Horizons Alternative Education School",97,260769001863,"Public district school"
"Howard Middle School for Math and Science",98,110005800308,"Public charter school"
"IDEA Toros College Preparatory",99,480021113514,"Public charter school"
"Urban Discovery High School",100,60155112318,"Public charter school"
"Impact | Puget Sound Elementary",101,530034503653,"Public charter school"
"Innovations High School",102,320048000869,"Public district school"
"[Non-Operating School] Iroquois High School",103,210299000753,"Public district school"
"John Barry Elementary School",104,90240000445,"Public district school"
"Juab High School",105,490045000334,"Public district school"
"[Non-Operating School] Kent Innovation High School",106,268062008464,NA
"Ketcham",107,110003000176,"Public district school"
"Kettle Moraine Explore",108,550351002914,"Public charter school"
"KIPP Academy Lynn Collegiate",109,250008201845,"Public charter school"
"KIPP Liberation",110,480026411548,"Public charter school"
"Latitude High School",111,60151414257,"Public charter school"
"[Non-Operating School] Launch Network at Stedman Elementary",112,80336000411,"Public district school"
"Lexington 4 Early Childhood Center",113,450279001548,"Public district school"
"Liberty Elementary School",114,240009000270,"Public district school"
"Lincoln Middle School (IL)",115,170606000288,"Public district school"
"Lindsay Unified High School",116,62187002595,"Public district school"
"Lodestar",117,60175514027,"Public charter school"
"Logan Innovations",118,490051000351,"Public district school"
"Madison Palmer High School",119,280381000730,"Public district school"
"Magnolia Montessori For All",120,480144212915,"Public charter school"
"Manual Academy",121,173123003274,"Public district school"
"Map Academy Charter School",122,250058902885,"Public charter school"
"Maple Street Magnet School",123,330594000709,"Public district school"
"Meadows Valley School PK-12",124,160206000826,"Public district school"
"Mena High School",125,50975000713,"Public district school"
"Meridian Technical Charter High School",126,160210000759,"Public charter school"
"MetWest",127,62805011350,NA
"Mill Creek Middle School",128,261203000738,"Public district school"
"Mineola Elementary",129,483093003479,"Public district school"
"Minnesota New Country School",130,270009202487,"Public charter school"
"[Non-Operating School] Mission Hill K-8 School",131,250279000946,NA
"Mission Vista High School",132,64119012341,"Public district school"
"Montpelier High School",133,500041000199,"Public district school"
"Native American Community Academy",134,350006000918,"Public charter school"
"Nativity of Mary Catholic School",135,701232,NA
"Nettleton High School",137,51044000762,"Public district school"
"New Haven Academy",138,90279000547,"Public district school"
"New Legacy Charter School",139,80002006661,"Public charter school"
"Noble High School",140,231470000512,"Public district school"
"Norris Academy",141,551071003072,"Public charter school"
"North Edgecombe High School",142,370132000555,"Public district school"
"North Little Rock Middle School - 6th Grade Campus",143,51068001678,"Public district school"
"Northside Elementary School",144,51197000956,"Public district school"
"Nottingham Elementary School",145,484110004684,"Public district school"
"NYC iSchool",146,360007706065,"Public district school"
"Oakland High School",147,470369001523,"Public district school"
"Ocean Bay Middle School",149,450249001458,"Public district school"
"Orlo Avenue Elementary",151,440033000103,"Public district school"
"Pangburn High School",152,51107000835,"Public district school"
"Park View Elementary",153,370312001335,"Public district school"
"Parker-Varney Elementary",154,330459000254,"Public district school"
"Pasodale Elementary School",155,484668005332,"Public district school"
"Pea Ridge Primary/Intermediate",156,50303000071,"Public district school"
"Piedmont High School",157,402397001272,"Public district school"
"Pinckney Community High School",158,262814006385,"Public district school"
"Pine Tree Elementary School",159,330249000079,NA
"Pioneer Ridge Middle School",160,270819003180,"Public district school"
"Pittsfield Middle High School",161,330573000366,"Public district school"
"Polaris Charter Academy",162,170993005919,"Public charter school"
"Port Huron High School",163,262883006475,"Public district school"
"Purdue Polytechnic High School - Englewood",165,180018302632,"Public charter school"
"Radford High School",166,510318001345,"Public district school"
"Red Bank Elementary",167,450270001269,"Public district school"
"Reiche Community School",168,230993000273,"Public district school"
"River Bluff High School",169,450270001626,"Public district school"
"Rochester Middle School",170,330594000395,"Public district school"
"Rocky Mountain School of Expeditionary Learning",171,80000400709,"Public district school"
"Rooted School New Orleans",172,220033102529,"Public charter school"
"Salem Church Elementary",173,510084000348,"Public district school"
"Salem High School (VA)",174,510346002043,"Public district school"
"Saluda Trail Middle School",175,450387000537,"Public district school"
"Sanborn Regional High School",176,330608000479,"Public district school"
"Schoolcraft High School",177,263102006732,"Public district school"
"Science and Math Institute",178,530870003286,"Public district school"
"Scott Central High School",179,280390000748,"Public district school"
"SEEQS: the School for Examining Essential Questions of Sustainability",180,150003000298,"Public charter school"
"Shamrock Garden Elementary School",181,370297001271,"Public district school"
"Shannon High School",182,481023013066,"Public district school"
"Shawnee High School",183,402757001463,"Public district school"
"Siloam Springs High School Conversion Charter",184,51245001003,"Public charter school"
"Silverton School",185,80657001136,"Public district school"
"Sinai Elementary School",186,510177002769,"Public district school"
"Soaring Heights Pk-8",188,80537006739,"Public district school"
"Social Justice Humanitas Academy",189,62271012895,"Public district school"
"The Social Justice School",190,110011500539,"Public charter school"
"Solar Preparatory School for Girls",191,481623013321,"Public district school"
"South Rowan High School",192,370405001629,"Public district school"
"Souhegan Coop High School",193,330626000034,"Public district school"
"St. Alphonsus Catholic School",194,699844,NA
"Statesmen College Preparatory Academy for Boys PCS",195,110011000518,"Public charter school"
"Stilwell High School",196,402871001512,"Public district school"
"Rocky Mountain Prep - RISE",197,80336006689,"Public charter school"
"Stuttgart Junior High School",198,51296001249,"Public district school"
"Summit Prep",199,60228711981,"Public charter school"
"Taft Primary School",200,172076002358,"Public district school"
"Taos Academy Charter School",201,350011801055,"Public charter school"
"Temple View Elementary",202,160153000269,"Public district school"
"The Creative School",203,110003000013,"Public district school"
"The Metropolitan Regional Career and Technical Center",204,440000300121,"Public district school"
"The NET Charter High School: Gentilly",205,220029302439,"Public charter school"
"The Young Women's Leadership School of Astoria",206,360010205948,"Public district school"
"Don Tyson School of Innovation",207,51266001633,"Public charter school"
"TRIO Wolf Creek Distance Learning Charter School",208,270023502689,"Public charter school"
"Two Rivers Public Charter School: 4th Street Campus",209,110004500279,"Public charter school"
"UCLA Community School",210,62271012524,"Public district school"
"Urban Assembly Maker Academy",211,360007706463,"Public district school"
"Urban Montessori Charter School",212,60181613008,"Public charter school"
"Valley New School",213,550039003341,"Public charter school"
"Valley View Middle School",214,271125002035,"Public district school"
"Valor Flagship Academy",215,470318002423,"Public charter school"
"Valor Voyager Academy",216,470318002432,"Public charter school"
"Vilas Elementary School",217,330299000120,"Public district school"
"Waimea Canyon Middle School",218,150003000092,"Public district school"
"Warren County High School",219,470435001749,"Public district school"
"Washington Leadership Academy",220,110010300510,"Public charter school"
"Waukesha STEM Academy Saratoga Campus",221,551578002023,"Public charter school"
"Weber Elementary",222,481428009249,"Public district school"
"West Side Collaborative Middle School",223,360007803603,NA
"West Woods Upper Elementary School",224,90156001368,"Public district school"
"Wheeling High School",225,170417000117,"Public district school"
"White Mountains Regional High School",226,330705000454,"Public district school"
"William Smith High School",228,80234000084,"Public district school"
"Winterboro High School",229,10318001226,"Public district school"
"Wynne Intermediate School of Innovation",231,51443001173,"Public district school"
"Ysleta Elementary School",232,484668005346,"Public district school"
"Cesar E. Chávez Multicultural Academic Center",233,170993000411,"Public district school"
"Virtual Learning Academy",234,330327100679,"Public charter school"
"International School of the Americas",235,483294007513,"Public district school"
"5280 High School",236,80336006756,"Public charter school"
"ACE Leadership High School",237,350006001074,"Public charter school"
"Altona Middle School",238,80537001886,"Public district school"
"Aspen Valley Prep Academy",240,60171410775,"Public charter school"
"Avonworth High School",241,420282005199,"Public district school"
"Benjamin Banneker Charter Public School",242,250002200514,"Public charter school"
"Bennington Junior-Senior High School",243,200396000165,"Public district school"
"Big Picture Educational Academy",244,60182912427,"Public charter school"
"Big Picture South Burlington at South Burlington High School",245,500747000294,"Public district school"
"Blessed Sacrament Catholic School",246,1507405,NA
"Boston Arts Academy",248,250279001128,"Public district school"
"Brockton High School",249,250309000385,"Public district school"
"Camden BPL Academy",250,340264000579,"Public district school"
"Coastal Leadership Academy",252,450390901615,NA
"ConVal Regional High School",254,330248000067,"Public district school"
"Cornerstone Academy for Social Action Middle School (CASA)",255,360008806107,"Public district school"
"Da Vinci RISE High",256,60221514355,"Public charter school"
"DC International school",257,110009700492,"Public charter school"
"Del Lago Academy",258,61291013061,"Public district school"
"Dighton Elementary School",259,200555001294,"Public district school"
"Dighton Junior-Senior High School",260,200555001296,"Public district school"
"DSST: Montview High School",261,80336001833,"Public charter school"
"Durango Big Picture High School",262,80348006597,"Public district school"
"Eisenhower Elementary",263,261482005178,"Public district school"
"Eliza Chappell Elementary School",265,170993000658,"Public district school"
"Energy Institute High School",267,482364013046,"Public district school"
"Environmental Charter School",268,420081206819,"Public charter school"
"EPIC Academy at Lamoille Union High School",269,500039700171,"Public district school"
"Escuela Verde",270,550006902920,"Public charter school"
"Fulton Academy of Science and Technology",272,130228004259,"Public charter school"
"Galileo STEM Academy",274,160210000945,"Public district school"
"Glenwood Elementary",275,291518000691,"Public district school"
"Great Oaks Legacy Charter School",277,340075103180,"Public charter school"
"Greater Egleston High School",278,250279000837,"Public district school"
"Happy Hollow Elementary School",279,50612000321,"Public district school"
"Harrison High School",280,80453000667,"Public district school"
"Health Leadership High School",281,350006001098,"Public charter school"
"Henry Ford Academy",282,260017101040,"Public charter school"
"Highland Academy Charter School",283,20018000555,"Public charter school"
"Hillbrook School",285,83054,NA
"Huntley High School",286,171983002247,"Public district school"
"Ida B. Wells Middle School",287,110003000524,"Public district school"
"Innovation Academy at Pembroke Academy",289,330558000359,"Public district school"
"Integrated Arts Academy",290,270819004310,"Public district school"
"International High School at Langley Park",291,240051001738,"Public district school"
"Intrinsic Charter School",292,170993006293,"Public charter school"
"John J. Cairns High School",294,62187005524,"Public district school"
"Journey Elementary",295,463135001288,"Public district school"
"Kennedy Elementary School",296,201284000723,"Public district school"
"LaFayette Big Picture at LaFayette Junior/Senior High School",297,361641001448,"Public district school"
"Lakeridge Elementary",298,530723001076,"Public district school"
"Lead Innovation Studio",299,292355003313,"Public district school"
"Leominster Center for Excellence",300,250678002779,"Public district school"
"Liberal High School",301,200873001286,"Public district school"
"Lincoln Middle School (AR)",302,50894001363,"Public district school"
"[Non-Operating School] Living School",303,220031402466,NA
"Lonoke High School",304,50906000642,"Public district school"
"Mapleton Early Career Preparation",305,80555001858,"Public district school"
"Achieve Community Charter School",306,340079203419,NA
"Marshall High School",307,50948000693,"Public district school"
"Matchbook Learning at Wendell Phillips",308,180019402642,"Public charter school"
"Met Sacramento High School",309,63384011194,"Public charter school"
"Methow Valley Independent Learning Center",310,530502002526,"Public district school"
"Nashville Big Picture High School",312,470318002136,"Public district school"
"Nawayee Center School",313,272124001903,"Public district school"
"New Orleans Accelerated High School",314,220032402498,"Public charter school"
"New Orleans Charter Science and Mathematics High School (SciHigh)",315,220028100234,"Public charter school"
"New Village Girls Academy",316,60157111631,"Public charter school"
"Newark East Side High School",317,341134002194,"Public district school"
"Newburgh Free Academy West",318,362070002910,"Public district school"
"Nipmuc Regional High School",319,250768001202,"Public district school"
"Big Picture Learning Windsor",320,60003414243,"Public district school"
"North Elementary School",321,540093001291,"Public district school"
"North Idaho STEM Charter Academy",322,160016001020,"Public charter school"
"Northeast Academy for Aerospace and Advanced Technologies",323,370039403360,"Public charter school"
"Northwest Passage High School",324,270017303041,"Public charter school"
"Odyssey STEM Academy",326,62985014236,"Public district school"
