"year","school_id","school_name","school_address","school_city","school_state","school_district","website","nces_id","school_type","school_locale","locale_rural","locale_suburban","locale_urban","school_enrollment","pct_aian","pct_asian","pct_bipoc","pct_black","pct_latinx","pct_multiple","pct_nhpi","pct_white","pct_ell","pct_frpl","pct_swd","school_desc_homeschool","school_desc_hybrid","school_desc_micro","school_desc_sws","school_desc_virtual","school_desc_other","school_desc_other_text","school_description","school_desc_magnet","school_desc_title_i","teaching_diversity","leadership_diversity","leader_gender","leader_race","leader_tenure","grades_pk","grades_elementary","grades_middle","grades_high","grades_k","grades_1","grades_2","grades_3","grades_4","grades_5","grades_6","grades_7","grades_8","grades_9","grades_10","grades_11","grades_12","grades_past_12","grades_other","grades_other_text","average_ela","average_math","focus_bipoc","focus_economic_disadvantage","focus_emergent_bilingual","focus_foster","focus_homeless","focus_interrupted","focus_juvenile_justice","focus_multilingual","focus_newcomer","focus_swd","focus_other","focus_other_text","inclusive_emergent_bilingual","inclusive_juvenile_justice","inclusive_newcomer","inclusive_swd","inclusive_other","inclusive_other_text","leaps_affirmation","leaps_anytime_anywhere","leaps_connection","leaps_customization","leaps_high_expectations","leaps_relevance","leaps_rigorous_learning","leaps_self_direction","leaps_social_consciousness","leaps_whole_child","leaps_rank_affirmation","leaps_rank_anytime_anywhere","leaps_rank_connection","leaps_rank_customization","leaps_rank_high_expectations","leaps_rank_relevance","leaps_rank_rigorous_learning","leaps_rank_self_direction","leaps_rank_social_consciousness","leaps_rank_whole_child","catalyst_covid","catalyst_cutting_edge","catalyst_demographics","catalyst_external","catalyst_inequities","catalyst_internal","catalyst_stakeholders","catalyst_student_agency","catalyst_teacher_agency","catalyst_other","catalyst_other_text","catalyst_key_covid","catalyst_key_cutting_edge","catalyst_key_demographics","catalyst_key_external","catalyst_key_inequities","catalyst_key_internal","catalyst_key_stakeholders","catalyst_key_student_agency","catalyst_key_teacher_agency","catalyst_key_other","suggested_tags","tag_eval","contact_email","contact_name","contact_role","respondent_email","respondent_name","respondent_role","nominator"
2019,1,"A2 Virtual + Academy",NA,"Ann Arbor","Michigan","Ann Arbor Public Schools","","","Public district school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,"The primary objective for the A2Virtual+ Academy is to provide students access to online and extended learning options that will help them to develop a personalized learning path. The vision of A2 Virtual+ Academy is to offer a multitude of world-class, cutting edge, curricular delivery options to enhance the traditional education of all secondary students (grades 6-12) through continual research, innovation, and expansion of its non-traditional offerings.  ",NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,NA,NA,NA,NA,NA,NA,"Anonymous"
2019,3,"The Academy of Advanced Learning","431 N Sable Blvd","Aurora","Colorado","Aurora Public School Distrit","","080234006736","Public charter school","Urban",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,"Our core purpose is to significantly narrow achievement gaps and prepare students for a Year 2030 workplace and world.",0,0,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Future of Work",2,NA,NA,NA,NA,NA,NA,"Anonymous"
2019,4,"Albemarle Road Elementary School",NA,"Charlotte","North Carolina","Charlotte-Mecklenburg Schools","http://schools.cms.k12.nc.us/albemarleroadES","370297001186","Public district school","Urban",0,0,1,1169,0,0.11,0.96,0.3,0.54,0.01,0,0.04,0.47,0.98,0.1,NA,NA,NA,0,NA,NA,NA,"Teacher Leadership Framework Mission: To provide an optimal teaching and learning environment with opportunities for career acceleration by means of student achievement.  Vision: A culture of coaching leads to a pathway of opportunities for leadership development resulting in high levels of teacher retention and students achievement.",0,1,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opportunity Culture",3,NA,NA,NA,NA,NA,NA,"Anonymous"
2019,6,"Amana Academy",NA,"Alpharetta","Georgia","Single site charter","","130228003535","Public charter school","Urban",0,0,1,726,0,0.17,0.72,0.38,0.12,0.05,0,0.28,0.1,0.54,0.06,NA,NA,NA,0,NA,NA,NA,"Amana Academy is both an EL Education Credentialed school and a Certified STEM (science, technology, engineering, math) school where core content is integrated such that students can solve local and global problems that matter.  Amana serves one of the most diverse student populations in the county, if not the state, with students claiming over 40 countries of heritage, more than 26 different languages spoken in their homes, and no majority race or ethnicity represented.  Our academic and social emotional programming build off this diversity, as global awareness builds empathy and provides context for the historical and contemporary issues that students are exploring in their learning. ",0,1,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"EL Education"
2019,7,"American Academy of Innovation","5410 W South Jordan Parkway","South Jordan","Utah","American Academy of Innovation","http://www.aaiutah.org","490018601483","Public charter school","Rural",1,0,0,213,0,0.02,0.08,0,0.05,0.01,0,0.92,NA,NA,NA,0,1,0,0,0,NA,NA,"The American Academy of Innovation (AAI) is unique in its overall educational approach, meeting the needs of increasing individual choice in learning opportunities and improving student learning. AAI offers a unique blend ofstrong academic programming using experiential learning combined with Career and Technological Education (CTE) courses to develop 21st Century Skills. AAI then incorporates partnerships to prepare students for success in their communities and ultimately the world around them. The focus of staff is to help students build responsibility and ownership of their own education. Students willlearn to find resources and develop techniques to help them learn using the methods best suited to their individual needs. AAI believesin students solving real-world problems every day through meaningful projects. As they reflect on these experiences, they come to understand the relevance of their education.  ",0,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA,NA,NA,0,1,1,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"Utah State Board of Education"
2019,8,"Anastasis Academy","6495 S Colorado Blvd","Centennial","Colorado","none provided","","","Independent (private) school","Urban",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,"Anastasis Academy is a revolutionary K-8 school that builds independent and creative thinkers with purpose. Rooted in the Reggio-Emilia philosophy, we deliver whole-child learning through challenging inquiry, creativity, and experiential study within a supportive, faith-based community.",NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,1,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"ReSchool"
2019,9,"Armada High School",NA,"Armada","Michigan","Armada Area Schools","http://www.armadaschools.org","260324004042","Public district school","Rural",1,0,0,659,0,0,0.02,0,0.01,0.01,0,0.98,0.01,0.18,0.07,NA,0,NA,1,NA,NA,NA,"Our purpose is to ensure our graduates are prepared for whatever path they choose to pursue in life, whether it be college, career, trades, military, etc. We seek to provide students with high school experiences that include a 2-year career sequence, opportunities to earn college credits and industry recognized certifications, as well as internships and job experiences. ",0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",3,NA,NA,NA,NA,NA,NA,"Michigan Department of Education"
2019,11,"Aspen Academy","5859 South University Blvd","Greenwood Village","Colorado","none provided","","","Independent (private) school","Suburban",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,"Aspen Academy is a leader in education, creating the nation's first integrated PreK-8th grade leadership and entrepreneurial development program. Aspen Academy is committed to providing each of our students an education of consequence that equips them with the skills, habits, attitudes and content needed to successfully develop and navigate an extraordinary and purposeful life. This transformed education model is a paradigm shift in educational delivery. ",NA,0,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"entrepreneurship focused",3,NA,NA,NA,NA,NA,NA,"Anonymous"
2019,15,"Avalon School","700 Glendale St","St. Paul","Minnesota","Avalon Charter","http://www.avalonschool.org","270018703140","Public charter school","Urban",0,0,1,157,0.03,0.07,0.27,0.13,0.04,NA,NA,0.73,0,0.26,0.41,0,0,0,0,0,NA,NA,"Avalon School operates as a democratic community where students practice self-directed skills by determining their curriculum and deciding how they will meet their graduation standards through seminars and student designed projects. While students are empowered to lead their education and accept responsibility for the community of learners in the school, teachers at Avalon are similarly empowered. There is no principal or director; the teachers operate as leaders and shared decision-makers.",0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teacher-powered, teacher led, teacher designed, cooperative
Integrated, developmentally-aligned/responsive; serve learners with a wide range of cognitive abilities",4,NA,NA,NA,NA,NA,NA,"Education Evolving, EdVisions, Center for Teaching Quality (CTQ), Education Reimagined"
2019,16,"Avanti High School","1113 LEGION WAY SE","Olympia","Washington","none provided","http://avanti.osd.wednet.edu/","530618002689","Public district school","Urban",0,0,1,159,NA,NA,0.21,0.01,0.09,0.12,NA,0.79,0,0.35,0.1,0,0,0,0,0,NA,NA,"Arts integration, Social Justice and Equity centered, an interdisciplinary approach, mastery learning, combination of project-based learning and opportunity for self directed (deep) learning. ",NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,1,1,0,1,1,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,NA,NA,NA,NA,NA,NA,"Anonymous"
