"school_id","nces_id","school_type","year"
1,"","Public district school",2021
3,"080234006736","Public charter school",2023
4,"370297001186","Public district school",2019
6,"130228003535","Public charter school",2019
7,"490018601483","Public charter school",2024
8,"A1790101","Independent (private) school",2025
9,"260324004042","Public district school",2021
10,"440090000213","Public district school",2024
11,"A0700350","Independent (private) school",2025
15,"270018703140","Public charter school",2024
16,"530618002689","Public district school",2025
19,"440003000002","Public district school",2019
21,"260543008175","Public district school",2022
22,"440003600246","Public charter school",2023
23,"280082001024","Public district school",2021
24,"250004901245","Public charter school",2024
25,"360008506258","Public district school",2019
26,"80279000172","Public district school",2025
27,"230993000603","Public district school",2024
28,"260858004404","Public district school",2021
30,"390437800440","Public district school",2019
32,"370039103375","Public charter school",2024
33,"450333001565","Public district school",2019
34,"010318001756","Public district school",2019
35,"170993006475","Public charter school",2025
36,"481407000888","Public district school",2019
37,"060205012708","Public charter school",2023
38,"290058503101","Public charter school",2023
39,"50435000164","Public district school",2021
40,"280110000137","Public district school",2019
41,"510025603031","Public district school",2025
42,"110003000396","Public district school",2022
44,"90001400807","Public charter school",2025
45,NA,"Public district school",2024
46,"080336006645","Public charter school",2019
47,"360008406382","Public district school",2025
48,"250006001439","Public charter school",2024
49,"470014802548","Public charter school",2025
50,"481623001342","Public district school",2019
52,NA,"Public district school",2025
53,"110004200273","Public charter school",2021
54,"080336006640","Public district school",2019
56,"60232413774","Public charter school",2024
57,"063153013729","Public district school",2019
58,"110010900521","Public charter school",2023
59,"130023704193","Public charter school",2019
62,"","Public district school",2021
63,"060196813898","Public charter school",2023
64,"060234513094","Public charter school",2023
65,"483432004691","Public district school",2021
66,"360104806255","Public charter school",2024
67,"80234006781","Public charter school",2022
69,"291854003253","Public district school",2025
70,"370007802430","Public charter school",2023
71,"360009001327","Public district school",2025
72,"490021001537","Public district school",2021
73,"90156000273","Public district school",2025
75,"260104308495","Public charter school",2021
76,"360012205727","Public district school",2025
77,"090240000441","Public district school",2019
78,"250003800581","Public charter school",2021
79,"360007806185","Public district school",2024
80,"080441006719","Public district school",2023
81,"160018101100","Public charter school",2024
83,"160020501080","Public charter school",2025
84,"530375003588","Public district school",2025
85,"80336006473","Public charter school",2025
88,"069101212948","Public charter school",2021
89,"170993002031","Public district school",2019
90,"470159001416","Public district school",2019
91,"360096006013","Public charter school",2025
93,"370309001319","Public district school",2021
94,"530354002976","Public district school",2022
95,"280198001400","Public district school",2019
