"nominator","school_id","nces_id","school_name","school_city","school_address","school_state","school_district","website","contact_name","contact_role","contact_email","school_type","school_desc_homeschool","school_desc_hybrid","school_desc_micro","school_desc_part_time","school_desc_sws","school_desc_virtual","school_desc_other","school_desc_other_text","school_locale","locale_urban","locale_suburban","locale_rural","locale_multiple","locale_other","locale_other_text","school_enrollment","grades_pk","grades_k","grades_1","grades_2","grades_3","grades_4","grades_5","grades_6","grades_7","grades_8","grades_9","grades_10","grades_11","grades_12","grades_past_12","grades_other","grades_other_text","grades_elementary","grades_middle","grades_high","pct_aian","pct_asian","pct_black","pct_latinx","pct_nhpi","pct_white","pct_multiple","pct_bipoc","pct_ell","pct_frpl","pct_swd","student_experience","catalyst_key_cutting_edge","catalyst_key_student_agency","catalyst_key_teacher_agency","catalyst_key_demographics","catalyst_key_school_culture","catalyst_key_achievement","catalyst_key_support","catalyst_key_stakeholders","catalyst_key_inequities","catalyst_key_absence","catalyst_key_mental_health","catalyst_key_other","catalyst_key_other_text","catalyst_key_support_swd","catalyst_key_support_ell","catalyst_key_support_mll","catalyst_key_support_houseless","catalyst_key_support_frpl","catalyst_key_support_bipoc","catalyst_key_support_newcomer","catalyst_key_support_foster","catalyst_key_support_jj","catalyst_key_support_slife","model_barr","model_bpl","model_caps","model_cara","model_district_c","model_el_education","model_gradient","model_go","model_ib","model_microsociety","model_modern","model_naf","model_equity_lab","model_new_tech","model_nxu","model_ptech","model_pltw","model_prelude","model_montessori","model_republic_cs","model_saga","model_success_bound","model_teach_one","model_calculus_project","model_algebra_success","practices_adaptive_content","practices_advancement_mastery","practices_advisories","practices_ai_materials","practices_ai_productivity","practices_ai_tutoring","practices_anti_racist","practices_assessments_agency","practices_assessments_bilingual","practices_assessments_career","practices_assessments_deeper","practices_assessments_sel","practices_blended_learning","practices_career_prep","practices_colead_cbo","practices_colead_family","practices_colead_industry","practices_colead_students","practices_colead_teachers","practices_coleadership","practices_community_partnerships","practices_community_supports","practices_competency_education","practices_competency_framework","practices_culturally_responsive","practices_disaggregated_participation_data","practices_dual_language","practices_early_college","practices_extended_learning","practices_extended_time","practices_flexible_staffing","practices_grading_mastery","practices_hiring_equity","practices_inclusion","practices_industry_credentials","practices_interdisciplinary","practices_interoperability","practices_learner_profiles","practices_learning_paths","practices_mental_health","practices_mentoring","practices_mtss_academics","practices_multi_age","practices_no_tracking","practices_opportunities_mastery","practices_pbl","practices_peer_to_peer","practices_performance_assessment","practices_physical_well_being","practices_place_based","practices_quality_materials","practices_reallocation_resources","practices_restorative","practices_sel_curriculum","practices_sel_integrated","practices_social_justice","practices_student_conferences","practices_student_data","practices_student_goals","practices_student_pace","practices_student_projects","practices_trauma_informed","practices_tutoring","practices_udl","core_adaptive_content","core_advancement_mastery","core_advisories","core_ai_materials","core_ai_productivity","core_ai_tutoring","core_anti_racist","core_assessments_agency","core_assessments_bilingual","core_assessments_career","core_assessments_deeper","core_assessments_sel","core_blended_learning","core_career_prep","core_colead_cbo","core_colead_family","core_colead_industry","core_colead_students","core_colead_teachers","core_coleadership","core_community_partnerships","core_community_supports","core_competency_education","core_competency_framework","core_culturally_responsive","core_disaggregated_participation_data","core_dual_language","core_early_college","core_extended_learning","core_extended_time","core_flexible_staffing","core_grading_mastery","core_hiring_equity","core_inclusion","core_industry_credentials","core_interdisciplinary","core_interoperability","core_learner_profiles","core_learning_paths","core_mental_health","core_mentoring","core_mtss_academics","core_multi_age","core_no_tracking","core_opportunities_mastery","core_pbl","core_peer_to_peer","core_performance_assessment","core_physical_well_being","core_place_based","core_quality_materials","core_reallocation_resources","core_restorative","core_sel_curriculum","core_sel_integrated","core_social_justice","core_student_conferences","core_student_data","core_student_goals","core_student_pace","core_student_projects","core_trauma_informed","core_tutoring","core_udl","time_adaptive_content","time_advancement_mastery","time_advisories","time_ai_materials","time_ai_productivity","time_ai_tutoring","time_anti_racist","time_assessments_agency","time_assessments_bilingual","time_assessments_career","time_assessments_deeper","time_assessments_sel","time_blended_learning","time_career_prep","time_colead_cbo","time_colead_family","time_colead_industry","time_colead_students","time_colead_teachers","time_coleadership","time_community_partnerships","time_community_supports","time_competency_education","time_competency_framework","time_culturally_responsive","time_disaggregated_participation_data","time_dual_language","time_early_college","time_extended_learning","time_extended_time","time_flexible_staffing","time_grading_mastery","time_hiring_equity","time_inclusion","time_industry_credentials","time_interdisciplinary","time_interoperability","time_learner_profiles","time_learning_paths","time_mental_health","time_mentoring","time_mtss_academics","time_multi_age","time_no_tracking","time_opportunities_mastery","time_pbl","time_peer_to_peer","time_performance_assessment","time_physical_well_being","time_place_based","time_quality_materials","time_reallocation_resources","time_restorative","time_sel_curriculum","time_sel_integrated","time_social_justice","time_student_conferences","time_student_data","time_student_goals","time_student_pace","time_student_projects","time_trauma_informed","time_tutoring","time_udl"
"Mastery Transcript Consortium",569,NA,"The Sycamore School","Arlington","1550 Wilson Blvd Suite 300","Virginia",NA,"https://thesycamoreschoolva.org/#","Karyn Ewart","Head of School","karyn.ewart@thesycamoreschoolva.org","Independent (private) school",0,0,0,0,0,0,1,"I'm not sure if we would be considered a micro school. We currently serve 54 students grades 5-12 and will grow to 100-140 students. We're an independent private school who serves students who learn differently. We follow a Mastery-based learning model which includes differentiated instruction.","Suburban",0,1,0,0,0,NA,54,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,"",1,1,1,0,0.09,0.05,0.05,0,0.76,0.05,0.24,0,0.04,0.85,"We want to help students identify and remove any barriers to their learning, so that they can be present in the classroom and open to learning. We want students to feel safe, develop positive relationships with staff and students, and enjoy learning. Our goal is to develop independent life longer learners who can identify their strengths, self-advocate, apply what they've learned to our larger world.",0,1,1,0,0,0,1,0,0,0,0,0,NA,"1","0","0","0","0","1","0","0","0","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,"0","1","0","1","1",1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,"0","0","0",NA,NA,NA,"0","0",NA,"0","0","0","0","0",NA,"0",NA,"0","0","0","1","0","1","0","0",NA,NA,NA,"0",NA,"0","0","0","0",NA,"0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"1","0","0","0","0","0","1","0","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,"5+ years"
"Transcend",608,"A1190082","Legacy Classical Christian Academy","Haslet","220 Main Street","Texas",NA,"https://www.legacyclassical.org/","Belinda Henson","Head of School","belinda.henson@legacyclassical.org","Independent (private) school",0,1,1,0,0,0,0,NA,"Suburban",0,1,0,0,0,NA,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The learning environment is designed to create curious students who are excited to expand their knowledge and who instinctively desire to research unknown topics.",0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,"0","1","0","1","1",1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,"0",NA,NA,NA,NA,"0",NA,NA,"0","0",NA,NA,"0",NA,"1",NA,"0","0","0",NA,"0","0",NA,NA,NA,NA,"1","0",NA,"0","1",NA,NA,NA,"0",NA,NA,"0",NA,NA,"0","1","1",NA,NA,"0","0","0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,"1-2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-2 years","5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clayton Christensen Institute",990,NA,"Rock Tree Sky","Ojai","650 Carne Rd","California","Ojai Unified School District","https://www.rocktreesky.org/","Jim Bailey","Executive Director","jim@rocktreesky.org","Independent (private) school",0,0,0,1,0,0,0,NA,"Multiple",0,1,1,1,0,NA,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"",1,1,1,0,0.02,0.03,0.07,0.01,0.75,0.12,0.25,0,0.3,NA,"The student experience at Rock Tree Sky is designed to:  -Foster interest-driven, relationship-rich learning that allows students to explore their curiosities. -Provide time, tools, and freedom for learners to develop confidence and personal agency. -Create a non-formal, non-classroom environment where learners engage in hands-on, creative experiences. -Encourage healthy relationships with peers and mentors in a supportive, inclusive community. -Celebrate learning without competition or grade-based evaluation, emphasizing curiosity and creativity.",0,1,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,"0","0","0","1","1",1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,NA,NA,"1","0","0","0","0","0",NA,"0",NA,NA,"0","0",NA,NA,NA,"0","0","0","1",NA,"0",NA,"0",NA,NA,"0","0",NA,"0",NA,NA,"0",NA,"0",NA,"0","0",NA,NA,NA,"1",NA,NA,"0","0",NA,NA,"0",NA,NA,"0","0","0","0",NA,"0","1","1","0","0","0",NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years","5+ years",NA,NA,NA,NA
"an anonymous organization",368,"A1792034","Verdi EcoSchool","Melbourne","1851 Highland Avenue","Florida",NA,"https://www.verdiecoschool.org/","Ayana Verdi","Founder, Director","ayana@verdiecoschool.org","Independent (private) school",0,0,1,1,0,0,0,NA,"Multiple",1,1,0,1,0,NA,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"",1,1,1,0,0.05,0.2,0.4,0,0.15,0.2,0.85,0.02,0.4,0.5,"Each student joins a mixed-age, mixed-ability Discovery Level grouping with an educator-guide who helps a student to navigate the Big Ideas contained in EcoSchool’s Learning Framework: Read Critically, Express Ideas, Investigate Through Inquiry, Reason Quantitatively, Use Sources, Design Solutions, Learn Independently, Navigate Conflict, Lead Teams, Build Networks, Sustain Wellness and Engage As A Citizen. Each Big Idea is a container for a set of skills that students will work to master across the life of their school experience. Students actively self-assess, self-reflect and lead their own term-end conferences to provide evidence of their own learning. Students become the masters of their own journey and are able to advocate for their needs and interests while co-designing courses of learning with fellow students and educators. There are no age barriers to the accessibility of learning experiences: if a student can demonstrate mastery and readiness for college-level coursework whilst in middle school they are able to dual enroll and begin completing credits towards their associates degree. If an elementary student can complete a pitch and business plan for an entrepreneurial endeavor, they may launch a pop-up and launch of their business with the support of their educator-guide and community advisors. Growth Levels are small group communities where students meet at the beginning and end of each day to set personal goals, learn coping skills and practice restorative work: how might we repair and refocus our efforts as individuals to strengthen ourselves and our purpose in the world? Growth levels are anchored in reflective journaling and restorative practices.",0,1,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,"0","1","0","0","1",1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"0","0","0",NA,"0",NA,"0","0",NA,"0","0","0","0","1",NA,"0",NA,NA,"0","0","0","0","1","0",NA,NA,NA,NA,"0","0","0","0","0","0","0","0",NA,"0","0",NA,"0",NA,"1","0","0","1",NA,"0",NA,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-4 years",NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA
"KnowledgeWorks",251,NA,"City of Bridges High School","Pittsburgh","733 North Highland Ave, Pittsburgh Pa 15206","Pennsylvania",NA,"www.cityofbridgeshighschool.org","Randy Bartlett","Head of School","randy@cobhs.org","Independent (private) school",0,0,0,0,0,0,1,"We are a small progressive project based school","Multiple",1,1,0,1,0,NA,60,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"",0,0,1,0,0.04,0.04,0.04,0,0.8,0.08,0.2,0,NA,0.21,"City of Bridges is designed to provide young people with the opportunity to co-design a secondary school experience that provides them with the knowledge, skills and understanding to follow any path that they choose. This is accomplished in an inclusive, supporting, and joyful learning environment.",0,1,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,"0","0","0","1","1",1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,NA,"0","0",NA,NA,NA,"0","0",NA,"0","0",NA,"0","0",NA,NA,NA,"1","1","0","0","0","0","1","0",NA,NA,"0","0",NA,"0","0","0","0","0","1",NA,NA,"0","0","0",NA,"0","0","0","1","0","0","0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years","5+ years",NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"One Stone",986,"A2102873","Insight Colearning Center","Durham",NA,"North Carolina",NA,"https://www.insightcolearning.org/","Susan Haws","Executive Director","susan@insightcolearning.org","Independent (private) school",0,0,1,0,0,0,0,NA,"Urban",1,0,0,0,0,NA,32,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"",0,0,1,0,0.03,0.2,0.1,0,0.57,0.1,0.43,0,0.25,0.65,"Insight Colearning Center is a unique, learner-centered micro high school located in the heart of Durham, NC. Started in 2018 through a grassroots movement, Insight seeks to disrupt the educational landscape for teens in order to reengage them in authentic and relevant learning for the 21st century and to empower them to make a difference in our rapidly changing and uncertain world. Insight specializes in helping teens discover their “why.” Through a unique combination of coursework, real world learning, outdoor adventure education (OAE), human centered design training, and wayfinding mentorship, Insight students connect deeply to their purpose, gain skills and confidence, build supportive networks, and make tangible contributions to their communities.   To this end, we offer a rich program that includes coursework, electives, and real-world experiences that together facilitate teens’ development of 24 durable skills for living and lifelong learning. As of 2022, our portrait of a graduate arises from the Insight Growth Framework, which we have adopted and implemented in partnership with One Stone (Boise, ID). Throughout their time at Insight, students work with their mentors, instructors, and outside collaborators to develop learning goals and to tailor their high school experience towards their own interests, while also developing fundamental skills and abilities that prepare them for future endeavors. The Insight experience culminates in an independent senior project that demonstrates students’ ability to identify and pursue a challenging and meaningful endeavor that combines two or more areas of interest and that makes a lasting impact in their field or community.",0,1,0,0,1,0,0,0,0,0,0,1,"Increase """"deep learning"""" or learning for understanding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,"0","0","0","1","0",1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,"0","0",NA,"0","1","0",NA,"0",NA,NA,NA,"0",NA,"0","0","0","0","0","0",NA,NA,NA,NA,NA,"0","0","0","0",NA,"0",NA,"0","0",NA,"1",NA,"0","0","0","1","0","0",NA,"1",NA,"0","0",NA,"0","1","0","0","0",NA,"0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,"1-2 years",NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA
"Clayton Christensen Institute",991,NA,"REALM","Santa Monica","400 Pico Blvd., Santa Monica","California",NA,"https://www.realmlearning.com/realm-academy","Jessica Slayback","Founding Director","jessie@realmlearning.com","Independent (private) school",0,0,1,1,0,0,0,NA,"Urban",1,0,0,0,0,NA,153,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"",1,1,1,0.02,0.06,0.28,0.04,0.01,0.59,0,0.41,0.02,NA,0.19,"At REALM, Choice, Challenge, and Community form the foundation of an education that is personal, intentional, and empowering. REALM is redefining what education can be: individualized, flexible, meaningful, and transformative.  REALM has positioned itself as a vibrant marketplace of ideas, opportunities, and relationships. We’ve removed the traditional barriers that stifle innovation in education—rigid grade levels, mandatory curricula, and top-down decision-making. Instead, we’ve replaced these with a model that thrives on choice, autonomy, and direct feedback from the community we serve. Students are not passive recipients of knowledge but active participants in their learning journey. They make decisions that shape their educational experience, which, in turn, shapes REALM itself. This mutual influence ensures that our model stays relevant, dynamic, and valuable.  There is no fixed curriculum that every child must follow, no mandatory sequence of classes, and no rigid adherence to a predetermined schedule. Instead, we offer a diverse array of classes—122 unique offerings this spring—that allow students to """"Lego block"""" their schedule around their interests. This means families can craft an educational path that suits their individual needs, from as little as one hour per week to full-day immersion. By allowing students, parents, and teachers to tailor their experiences, we ensure that REALM remains valuable, innovative, and focused on actual needs.  Our student body is diverse in every sense—homeschoolers, unschoolers, public schoolers, divergent thinkers, creative spirits, and students recovering from educational trauma all find a welcoming environment. At REALM, no one is turned away; our inclusive approach ensures that every student has a place to learn and grow.",0,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,"1","1","0","1","1",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,"0","0",NA,"0","0",NA,"0","0",NA,"0","0","0","0",NA,"0","0",NA,"0","1","0","0","0","0","0","0",NA,NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"1","0","0","0","0","0","0","0",NA,"0","0","0","0","0",NA,NA,"0","1","0","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,"5+ years"
"Getting Smart",850,NA,"Ellemercito Academy","Downey","10544 Downey Ave.","California",NA,"ellemercito.org","Lizette Valles","Founder/Head of School","lvalles@ellemercito.org","Independent (private) school",1,1,1,1,0,0,0,NA,"Urban",1,0,0,0,0,NA,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"",1,1,1,0,0.1,0.15,0.4,0,0.1,0.25,0.9,0.15,0.5,0.75,"We have radically redefined education by taking our students out into the world to learn! We have ripped the doors off the classroom, and the world is an extension of our campus! Students rejoice over aerodynamics through indoor skydiving and helicopter rides, explore treehouses and handmade homes after reading Swiss Family Robinson, and co-create by helping to select their own curriculum! Our students' ages and preconceived grade levels do not determine how far they go! They determine that by pursuing their interests and delving into passion-based learning opportunities! More specifically, we serve students and follow their lead. Many of our students have undergone significant trauma, and we recognize that every behavior is communication of an unmet psychological need. Our school intentionally decodes behavior as we collaborate with a neurologist and therapist by incorporating a neuroscientific, reparative teaching approach acknowledging that trauma is healed through felt safety and connection in community.",0,1,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"1","1","1","1","1",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"0","0","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"0",NA,"0",NA,"0","0",NA,"0",NA,"0","1","0","1","0","0",NA,"0","1","0","0",NA,"1","0","0","0","0","0","0",NA,"0","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-4 years",NA,"3-4 years",NA,NA,NA,NA,"3-4 years",NA,NA,NA,"3-4 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-4 years",NA,NA
"an anonymous organization",770,"A1992179","UP Academy","San Mateo","2040 Pioneer Ct.","California",NA,"https://www.upacademysf.com/","Brittany Botta","Director of Teaching and Learning","brittany@upacademysf.com","Independent (private) school",0,0,1,0,0,0,0,NA,"Urban",1,0,0,0,0,NA,24,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0.4,0.1,0,0,0.3,0.2,0.7,0,NA,0.3,"UP Academy is a progressive K-8 micro-school that utilizes a concept and project based curriculum that allows students to apply the knowledge, skills and concepts they master in school to the real world.    Our students develop 21st century skills, a global perspective, and empathetic action in an environment that nurtures creativity and encourages curiosity.  We empower students of all abilities to find strength in their community, believe in the power of their ideas, and influence action in the world around them.  Our small, mixed age classes create a loving environment where each student builds a strong relationship with the peers and educator resulting in a deeper and richer educational experience.  We meet students at their level and create the right amount of challenge for them to achieve their goals while loving learning. Content is not age or grade specific, it is student specific.  We believe that a good educational model isn’t everyone getting the same thing, it's everyone getting what they need to be successful and thrive.   Deep, interdisciplinary project based learning contributes to the magic of Up Academy.  Students engage in meaningful projects that allow them to engage authentically in their community to solve problems.   Over the course of a trimester the students are able to grow in wonder as they make discoveries and explore their topic through hands-on activities and field trips.   Each project culminates with an exhibition day, where the students get to demonstrate their learning and craftsmanship.   Our students focus on developing their own identities as individuals and an understanding of who they are as Americans in a global world, humans in a diverse ecosystem, and critical questioners in an ever changing environment.",1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,"0","1","0","0","1",1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,NA,"0",NA,NA,"0",NA,"0",NA,NA,"0","0","0","0",NA,NA,"0",NA,NA,"1","0","0",NA,"0","1","0",NA,"0",NA,NA,NA,"0","0",NA,"0",NA,"1",NA,NA,"0",NA,NA,NA,"1","0","0","1",NA,"0",NA,NA,"0",NA,"0","0","0","0",NA,NA,"0",NA,"0","0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,"1-2 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transcend",506,NA,"Red Bridge","San Francisco","2265 Third Street","California",NA,"https://www.redbridgesf.org/","Orly Friedman","Head of School","orly@redbridgesf.org","Independent (private) school",0,0,0,0,0,0,0,NA,"Urban",1,0,0,0,0,NA,54,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"",1,1,0,0,0.2,0.1,0.15,0,0.4,0.15,0.6,0.15,0.2,0.3,"The learning environment at Red Bridge is meant to support students in setting meaningful goals, making a plan to achieve them, accessing resources that will support their progress, having time to work and reflect, and having time for deep collaboration and connection with adults and peers.",1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,"0","0","0","0","0",1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,NA,"0","0",NA,NA,NA,"0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,"0",NA,NA,"1","0","0","0",NA,NA,NA,NA,"0","0","0","0",NA,"0","0","0","0",NA,"1",NA,"0",NA,"0","1","0","0","0","0",NA,"0","0","1","0",NA,"0","0","1","0","0",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,"5+ years",NA,NA,NA,NA,NA
