variable,full_label,short_label
school_id,School ID,School ID
year,Year,Year
nces_id,NCES ID,NCES ID
school_name,School name,School name
school_city,City,City
school_address,Address,Address
school_state,State,State
school_district,District,District
website,Website,Website
school_type,School type,School type
school_desc_homeschool,Homeschooling cooperative,Homeschool coop
school_desc_hybrid,Hybrid school,Hybrid school
school_desc_micro,Microschool,Microschool
school_desc_part_time,Part time school,Part time school
school_desc_sws,School-within-school,School-within-school
school_desc_virtual,Virtual school,Virtual school
school_desc_other,Some other descriptor,Other
school_desc_other_text,Self described descriptor,Other descriptor
school_enrollment,Enrollment,Enrollment
grades_pk,Pre-Kindergarten,Pre-Kindergarten
grades_k,Kindergarten,Kindergarten
grades_1,1st grade,1st grade
grades_2,2nd grade,2nd grade
grades_3,3rd grade,3rd grade
grades_4,4th grade,4th grade
grades_5,5th grade,5th grade
grades_6,6th grade,6th grade
grades_7,7th grade,7th grade
grades_8,8th grade,8th grade
grades_9,9th grade,9th grade
grades_10,10th grade,10th grade
grades_11,11th grade,11th grade
grades_12,12th grade,12th grade
grades_past_12,Past 12th grade,Past 12th grade
grades_other,Some other grade,Other grade
grades_other_text,Self described grades offered,Other text
grades_elementary,Elementary,Elementary
grades_middle,Middle,Middle
grades_high,High,High
pct_aian,American Indian or Alaska Native,AIAN
pct_asian,Asian,Asian
pct_bipoc,BIPOC,BIPOC
pct_black,Black or African American,Black
pct_latinx,Latine,Latine
pct_nhpi,Native Hawaiian or Other Pacific Islander,NHPI
pct_multiple,Two or more races,Multiracial
pct_white,"White, non-Latine or Hispanic",White
pct_race_na,We do not collect this data,We do not collect this data
locale_rural,Rural,Rural
locale_urban,Urban,Urban
locale_suburban,Suburban,Suburban
locale_other,Some other locale,Other locale
locale_other_text,Self-described locale,Other
school_locale,Locale,Locale
pct_ell,English learners,EL
pct_ell_na,We do not collect EL data,No EL data
pct_frpl,Eligible for free and reduced-price lunch,FRPL
pct_frpl_na,We do not collect FRPL data,No FRPL data
pct_swd,Students with disabilities,SWD
pct_swd_na,We do not collect SWD data,No SWD data
leadership_diversity,Racial/ethnic diversity of leadership team,Leadership team race/ethnicity
teaching_diversity,Racial/ethnic diversity of teaching staff,Teaching team race/ethnicity
student_experience,How would you describe the student experience that the learning environment is designed to create?,Student experience
catalyst_key_cutting_edge,Demonstrate what’s possible for other schools,Demonstrate what's possible
catalyst_key_student_agency,Increase student agency,Increase student agency
catalyst_key_teacher_agency,Increase teacher agency,Increase teacher agency
