"short_label","n","total","pct"
"Address absenteeism",7,96,0.0729166666666667
"Address systemic inequities",23,96,0.239583333333333
"Change in demographics",4,96,0.0416666666666667
"Demonstrate what's possible",46,96,0.479166666666667
"Improve academics",40,96,0.416666666666667
"Improve school culture",21,96,0.21875
"Improve student mental health",11,96,0.114583333333333
"Increase student agency",65,96,0.677083333333333
"Increase teacher agency",16,96,0.166666666666667
"Stakeholder demand/advocacy",13,96,0.135416666666667
"Support specific population",20,96,0.208333333333333
