"short_label","selection","n","total","pct"
"Academic success","We collect some data",17,91,0.186813186813187
"Academic success","We collect it systematically",68,91,0.747252747252747
"Academic success","We do not measure this",1,91,0.010989010989011
"Academic success","We notice it informally",5,91,0.0549450549450549
"Agency and self-direction","We collect some data",30,92,0.326086956521739
"Agency and self-direction","We collect it systematically",29,92,0.315217391304348
"Agency and self-direction","We do not measure this",4,92,0.0434782608695652
"Agency and self-direction","We notice it informally",29,92,0.315217391304348
"Belonging","We collect some data",20,92,0.217391304347826
"Belonging","We collect it systematically",47,92,0.510869565217391
"Belonging","We do not measure this",1,92,0.0108695652173913
"Belonging","We notice it informally",24,92,0.260869565217391
"Civic engagement and responsibility","We collect some data",20,86,0.232558139534884
"Civic engagement and responsibility","We collect it systematically",19,86,0.22093023255814
"Civic engagement and responsibility","We do not measure this",12,86,0.13953488372093
"Civic engagement and responsibility","We notice it informally",35,86,0.406976744186047
"Durable skills","We collect some data",22,93,0.236559139784946
"Durable skills","We collect it systematically",38,93,0.408602150537634
"Durable skills","We do not measure this",3,93,0.032258064516129
"Durable skills","We notice it informally",30,93,0.32258064516129
"Economic mobility","We collect some data",16,85,0.188235294117647
"Economic mobility","We collect it systematically",9,85,0.105882352941176
"Economic mobility","We do not measure this",26,85,0.305882352941176
"Economic mobility","We notice it informally",34,85,0.4
"Engagement","We collect some data",24,93,0.258064516129032
"Engagement","We collect it systematically",39,93,0.419354838709677
"Engagement","We do not measure this",1,93,0.010752688172043
"Engagement","We notice it informally",29,93,0.311827956989247
"Higher education access","We collect some data",16,82,0.195121951219512
"Higher education access","We collect it systematically",36,82,0.439024390243902
"Higher education access","We do not measure this",8,82,0.0975609756097561
"Higher education access","We notice it informally",22,82,0.268292682926829
"Higher education success","We collect some data",22,83,0.265060240963855
"Higher education success","We collect it systematically",19,83,0.228915662650602
"Higher education success","We do not measure this",13,83,0.156626506024096
"Higher education success","We notice it informally",29,83,0.349397590361446
"Identity and purpose","We collect some data",35,92,0.380434782608696
"Identity and purpose","We collect it systematically",23,92,0.25
"Identity and purpose","We do not measure this",3,92,0.0326086956521739
"Identity and purpose","We notice it informally",31,92,0.33695652173913
"Industry credentials","We collect some data",14,64,0.21875
"Industry credentials","We collect it systematically",31,64,0.484375
"Industry credentials","We do not measure this",2,64,0.03125
"Industry credentials","We notice it informally",17,64,0.265625
"Social capital","We collect some data",21,80,0.2625
"Social capital","We collect it systematically",9,80,0.1125
"Social capital","We do not measure this",18,80,0.225
"Social capital","We notice it informally",32,80,0.4
"Work-based skills and employability","We collect some data",23,85,0.270588235294118
"Work-based skills and employability","We collect it systematically",28,85,0.329411764705882
"Work-based skills and employability","We do not measure this",7,85,0.0823529411764706
"Work-based skills and employability","We notice it informally",27,85,0.317647058823529
