"short_label","selection","n","total","pct"
"Academic success","We collect it systematically",68,91,0.747252747252747
"Academic success","We do not measure this",1,91,0.010989010989011
"Academic success","We measure in some way",22,91,0.241758241758242
"Agency and self-direction","We collect it systematically",29,92,0.315217391304348
"Agency and self-direction","We do not measure this",4,92,0.0434782608695652
"Agency and self-direction","We measure in some way",59,92,0.641304347826087
"Belonging","We collect it systematically",47,92,0.510869565217391
"Belonging","We do not measure this",1,92,0.0108695652173913
"Belonging","We measure in some way",44,92,0.478260869565217
"Civic engagement and responsibility","We collect it systematically",19,86,0.22093023255814
"Civic engagement and responsibility","We do not measure this",12,86,0.13953488372093
"Civic engagement and responsibility","We measure in some way",55,86,0.63953488372093
"Durable skills","We collect it systematically",38,93,0.408602150537634
"Durable skills","We do not measure this",3,93,0.032258064516129
"Durable skills","We measure in some way",52,93,0.559139784946237
"Economic mobility","We collect it systematically",9,85,0.105882352941176
"Economic mobility","We do not measure this",26,85,0.305882352941176
"Economic mobility","We measure in some way",50,85,0.588235294117647
"Engagement","We collect it systematically",39,93,0.419354838709677
"Engagement","We do not measure this",1,93,0.010752688172043
"Engagement","We measure in some way",53,93,0.56989247311828
"Higher education access","We collect it systematically",36,82,0.439024390243902
"Higher education access","We do not measure this",8,82,0.0975609756097561
"Higher education access","We measure in some way",38,82,0.463414634146341
"Higher education success","We collect it systematically",19,83,0.228915662650602
"Higher education success","We do not measure this",13,83,0.156626506024096
"Higher education success","We measure in some way",51,83,0.614457831325301
"Identity and purpose","We collect it systematically",23,92,0.25
"Identity and purpose","We do not measure this",3,92,0.0326086956521739
"Identity and purpose","We measure in some way",66,92,0.717391304347826
"Industry credentials","We collect it systematically",31,64,0.484375
"Industry credentials","We do not measure this",2,64,0.03125
"Industry credentials","We measure in some way",31,64,0.484375
"Social capital","We collect it systematically",9,80,0.1125
"Social capital","We do not measure this",18,80,0.225
"Social capital","We measure in some way",53,80,0.6625
"Work-based skills and employability","We collect it systematically",28,85,0.329411764705882
"Work-based skills and employability","We do not measure this",7,85,0.0823529411764706
"Work-based skills and employability","We measure in some way",50,85,0.588235294117647
