"short_label","selection","n","total","pct"
"Academic success","Important",91,92,0.989130434782609
"Academic success","Not important",1,92,0.0108695652173913
"Agency and self-direction","Important",94,94,1
"Belonging","Important",92,93,0.989247311827957
"Belonging","Not important",1,93,0.010752688172043
"Civic engagement and responsibility","Important",86,92,0.934782608695652
"Civic engagement and responsibility","Not important",6,92,0.0652173913043478
"Durable skills","Important",93,93,1
"Economic mobility","Important",85,92,0.923913043478261
"Economic mobility","Not important",7,92,0.0760869565217391
"Engagement","Important",94,94,1
"Higher education access","Important",82,92,0.891304347826087
"Higher education access","Not important",10,92,0.108695652173913
"Higher education success","Important",83,92,0.902173913043478
"Higher education success","Not important",9,92,0.0978260869565217
"Identity and purpose","Important",93,93,1
"Industry credentials","Important",64,92,0.695652173913043
"Industry credentials","Not important",28,92,0.304347826086957
"Social capital","Important",81,94,0.861702127659574
"Social capital","Not important",13,94,0.138297872340426
"Work-based skills and employability","Important",86,94,0.914893617021277
"Work-based skills and employability","Not important",8,94,0.0851063829787234
