"short_label","n","total","pct"
"Across grade levels",63,96,0.65625
"Assessment of workplace competencies/technical skills",26,96,0.270833333333333
"Individualized advising, planning, or goal-setting",60,96,0.625
"Integrated with SEL structures",37,96,0.385416666666667
"Integrated with core academic",46,96,0.479166666666667
"Mission and/or strategic plan",56,96,0.583333333333333
"None of the above",2,96,0.0208333333333333
"PD for all staff",38,96,0.395833333333333
"Required coursework/graduation pathways",48,96,0.5
"Schoolwide scheduling structures",56,96,0.583333333333333
"Staff roles dedicated to CCL",61,96,0.635416666666667
